id,label,category,text,expected_note,baseline_label,baseline_label_name,baseline_score,baseline_correct,meme_label,meme_label_name,meme_score,meme_correct,bert_label,bert_label_name,bert_score,bert_correct
N01,0,normal_plain,这家店环境还可以，下次还会再来。,基础正常样例,0,正常文本,0.2064,1,0,正常文本,0.2009,1,0,正常文本,0.9986,1
N02,0,normal_plain,今天的课程内容比较充实，老师讲得很清楚。,基础正常样例,0,正常文本,0.1901,1,0,正常文本,0.2119,1,0,正常文本,0.9988,1
N03,0,normal_plain,这个功能设计得不错，不过界面还可以继续优化。,中性评价样例,0,正常文本,0.0702,1,0,正常文本,0.0592,1,0,正常文本,0.9985,1
N04,0,normal_plain,我觉得这篇文章结构很清晰，适合初学者阅读。,正常陈述,0,正常文本,0.0946,1,0,正常文本,0.0849,1,0,正常文本,0.9988,1
N05,0,normal_plain,这次活动组织得比较顺利，大家配合得很好。,正常陈述,0,正常文本,0.1346,1,0,正常文本,0.1218,1,0,正常文本,0.9984,1
N06,0,normal_plain,这个评论有点情绪化，但还谈不上攻击别人。,边界正常样例,0,正常文本,0.1702,1,0,正常文本,0.145,1,0,正常文本,0.9978,1
N07,0,normal_plain,虽然我不同意你的观点，但我尊重你表达意见的权利。,理性讨论样例,0,正常文本,0.1627,1,0,正常文本,0.1428,1,0,正常文本,0.9982,1
N08,0,normal_plain,这个梗我没看懂，不过评论区挺热闹的。,网络语境但不攻击,0,正常文本,0.1019,1,0,正常文本,0.0974,1,0,正常文本,0.9987,1
N09,0,normal_plain,大家讨论问题时还是尽量理性一点比较好。,正常建议样例,0,正常文本,0.2021,1,0,正常文本,0.2108,1,0,正常文本,0.9984,1
N10,0,normal_plain,系统现在已经能稳定返回预测结果。,系统说明样例,0,正常文本,0.2132,1,0,正常文本,0.1966,1,0,正常文本,0.9987,1
A01,0,anti_hate,我反对任何形式的歧视言论。,含敏感词但语义为反对,0,正常文本,0.45,1,0,正常文本,0.45,1,0,正常文本,0.9969,1
A02,0,anti_hate,这种说法像是在侮辱别人。,描述语境,0,正常文本,0.3264,1,0,正常文本,0.2886,1,0,正常文本,0.9978,1
A03,0,anti_hate,这类评论带有明显偏见，应该被管理员处理。,分析与治理语境,0,正常文本,0.2266,1,0,正常文本,0.2259,1,0,正常文本,0.9975,1
A04,0,anti_hate,有些网络梗表面上像玩笑，实际上会强化偏见。,模因分析语境,0,正常文本,0.2332,1,0,正常文本,0.2222,1,0,正常文本,0.9982,1
A05,0,anti_hate,我认为任何侮辱性发言都应该被抵制。,规范性表达,0,正常文本,0.4447,1,0,正常文本,0.45,1,0,正常文本,0.9956,1
A06,0,anti_hate,这句话的问题在于它把整个群体都概括了。,分析语境,0,正常文本,0.2358,1,0,正常文本,0.2071,1,0,正常文本,0.9978,1
A07,0,anti_hate,这种表达方式容易让人感到被冒犯。,分析语境,0,正常文本,0.2391,1,0,正常文本,0.2074,1,0,正常文本,0.9973,1
A08,0,anti_hate,平台应该减少带有仇恨色彩的传播内容。,治理语境,0,正常文本,0.36,1,0,正常文本,0.3903,1,0,正常文本,0.9904,1
A09,0,anti_hate,他是在批评这种歧视现象，不是在支持它。,反对语境,0,正常文本,0.45,1,0,正常文本,0.45,1,0,正常文本,0.9983,1
A10,0,anti_hate,这段文字是在分析攻击性表达的特点。,分析语境,0,正常文本,0.1792,1,0,正常文本,0.1715,1,0,正常文本,0.9971,1
D01,0,disagreement,我不同意这个方案，因为成本太高。,负面评价但非攻击,0,正常文本,0.151,1,0,正常文本,0.1315,1,0,正常文本,0.9986,1
D02,0,disagreement,这家店服务一般，我不太想再去了。,负面评价但非攻击,0,正常文本,0.1276,1,0,正常文本,0.1218,1,0,正常文本,0.9985,1
D03,0,disagreement,他的观点很片面，但不至于上升到攻击。,负面评价但非攻击,0,正常文本,0.1217,1,0,正常文本,0.1011,1,0,正常文本,0.9982,1
D04,0,disagreement,这个人做事效率低，让团队很被动。,针对个体能力评价,0,正常文本,0.3123,1,0,正常文本,0.2658,1,0,正常文本,0.9963,1
D05,0,disagreement,这篇帖子写得有点夸张，不过只是吐槽。,边界正常样例,0,正常文本,0.173,1,0,正常文本,0.1656,1,0,正常文本,0.9981,1
S01,0,safe_meme,不是我说，这个设计真的有点离谱。,网络表达但非群体攻击,0,正常文本,0.1419,1,0,正常文本,0.1175,1,0,正常文本,0.9986,1
S02,0,safe_meme,笑死，这个 bug 居然还能自己消失。,网络表达但非攻击,0,正常文本,0.182,1,0,正常文本,0.1932,1,0,正常文本,0.9983,1
S03,0,safe_meme,果然还是老版本更稳定。,网络表达但非攻击,0,正常文本,0.2195,1,0,正常文本,0.214,1,0,正常文本,0.9982,1
S04,0,safe_meme,不是吧，这么简单的问题也能修一下午。,吐槽语境,0,正常文本,0.2739,1,0,正常文本,0.2547,1,0,正常文本,0.9988,1
S05,0,safe_meme,这波操作节目效果确实拉满。,网络表达但非攻击,0,正常文本,0.2105,1,0,正常文本,0.2049,1,0,正常文本,0.9988,1
H01,1,explicit_harm,这个群体根本不配得到尊重。,明显群体攻击,1,疑似有害文本,0.66,1,1,疑似有害文本,0.66,1,0,正常文本,0.9975,0
H02,1,explicit_harm,他们天生就低人一等。,明显群体贬低,1,疑似有害文本,0.6867,1,1,疑似有害文本,0.7805,1,1,疑似有害文本,0.9952,1
H03,1,explicit_harm,这种人就该被赶出去。,驱逐性表达,0,正常文本,0.3842,0,0,正常文本,0.3156,0,0,正常文本,0.997,0
H04,1,explicit_harm,某些人真是又蠢又坏，根本没资格说话。,明显侮辱,1,疑似有害文本,0.66,1,1,疑似有害文本,0.66,1,1,疑似有害文本,0.9645,1
H05,1,explicit_harm,这些人就是社会的垃圾。,明显侮辱,1,疑似有害文本,0.66,1,1,疑似有害文本,0.7839,1,1,疑似有害文本,0.9755,1
H06,1,explicit_harm,看到这种群体我就觉得恶心。,明显厌恶表达,1,疑似有害文本,0.66,1,1,疑似有害文本,0.66,1,0,正常文本,0.9908,0
H07,1,explicit_harm,这种人不应该出现在这里。,排斥性表达,0,正常文本,0.3195,0,0,正常文本,0.2623,0,0,正常文本,0.998,0
H08,1,explicit_harm,他们就只会拖后腿，毫无价值。,群体贬低,1,疑似有害文本,0.5096,1,0,正常文本,0.4734,0,1,疑似有害文本,0.9906,1
H09,1,explicit_harm,这帮人就该滚远一点。,驱赶性表达,1,疑似有害文本,0.5022,1,0,正常文本,0.4517,0,0,正常文本,0.9931,0
H10,1,explicit_harm,某些外地人来到这里只会添乱。,地域偏见表达,1,疑似有害文本,0.591,1,1,疑似有害文本,0.5552,1,0,正常文本,0.9954,0
H11,1,explicit_harm,女人天生就不适合做这种工作。,性别偏见表达,0,正常文本,0.4423,0,0,正常文本,0.4326,0,1,疑似有害文本,0.987,1
H12,1,explicit_harm,男人都是没责任感的家伙。,性别泛化攻击,1,疑似有害文本,0.6644,1,1,疑似有害文本,0.6396,1,1,疑似有害文本,0.9966,1
H13,1,explicit_harm,这种群体就不该享受同样的待遇。,歧视性待遇表达,0,正常文本,0.3356,0,0,正常文本,0.346,0,0,正常文本,0.9973,0
H14,1,explicit_harm,他们根本配不上和正常人一起讨论。,排斥与贬低,0,正常文本,0.4744,0,0,正常文本,0.4242,0,0,正常文本,0.9902,0
H15,1,explicit_harm,这类人就是问题的根源。,群体归因攻击,1,疑似有害文本,0.5642,1,1,疑似有害文本,0.5194,1,0,正常文本,0.9955,0
M01,1,meme_harm,不是我说，某些人真的是典中典。,模板化模因攻击,1,疑似有害文本,0.66,1,1,疑似有害文本,0.66,1,0,正常文本,0.998,0
M02,1,meme_harm,果然某些人又开始这一套了，笑死。,隐含模因攻击,1,疑似有害文本,0.66,1,1,疑似有害文本,0.66,1,0,正常文本,0.9981,0
M03,1,meme_harm,建议把这种人都打包送走。,模板化驱逐表达,0,正常文本,0.2711,0,0,正常文本,0.223,0,0,正常文本,0.9986,0
M04,1,meme_harm,某些人一开口就知道还是老配方。,网络化嘲讽攻击,1,疑似有害文本,0.66,1,1,疑似有害文本,0.66,1,0,正常文本,0.9986,0
M05,1,meme_harm,这群人又来了，节目效果拉满，真有你的。,网络化群体攻击,0,正常文本,0.3678,0,0,正常文本,0.3774,0,0,正常文本,0.9989,0
M06,1,meme_harm,就这也敢出来代表大家发言，典得不行。,网络化贬低,0,正常文本,0.2284,0,0,正常文本,0.2725,0,0,正常文本,0.9984,0
M07,1,meme_harm,还搁这装无辜呢，某些人是真的离谱。,网络化群体攻击,1,疑似有害文本,0.66,1,1,疑似有害文本,0.66,1,0,正常文本,0.9984,0
M08,1,meme_harm,不是吧不是吧，这种群体居然也配提要求。,模板化群体攻击,0,正常文本,0.2428,0,0,正常文本,0.2497,0,0,正常文本,0.9984,0
M09,1,meme_harm,看到某些人的发言，我只想说一句离大谱。,隐含攻击表达,0,正常文本,0.1585,0,0,正常文本,0.1634,0,0,正常文本,0.9984,0
M10,1,meme_harm,果然一提到这个话题，这些人就原形毕露了。,群体刻板化表达,1,疑似有害文本,0.66,1,1,疑似有害文本,0.66,1,0,正常文本,0.9987,0
I01,1,implicit_group_attack,他们这种人一多，讨论氛围就完了。,隐含群体攻击,0,正常文本,0.3644,0,0,正常文本,0.3209,0,0,正常文本,0.9985,0
I02,1,implicit_group_attack,这群人一出现，整个评论区就乌烟瘴气。,隐含群体攻击,0,正常文本,0.3323,0,0,正常文本,0.3027,0,0,正常文本,0.9836,0
I03,1,implicit_group_attack,某些人只配被当笑话看。,隐含攻击表达,1,疑似有害文本,0.66,1,1,疑似有害文本,0.66,1,0,正常文本,0.966,0
I04,1,implicit_group_attack,和这种人讲道理就是浪费时间，他们根本听不懂。,群体贬低表达,0,正常文本,0.3637,0,0,正常文本,0.2988,0,0,正常文本,0.9975,0
I05,1,implicit_group_attack,这种群体拿什么和别人平起平坐。,隐含歧视表达,0,正常文本,0.3157,0,0,正常文本,0.3425,0,0,正常文本,0.9964,0
